experiment,strain,volume,time,beads,rep,OD,supplement
24-well,SP286,1,afternoon,0,1,5.11,none
24-well,SP286,1,afternoon,0,2,6.47,none
24-well,SP286,1,afternoon,0,3,5.86,none
24-well,SP286,1,afternoon,4.5,1,5.18,none
24-well,SP286,1,afternoon,4.5,2,4.70,none
24-well,SP286,1,afternoon,4.5,3,3.93,none
24-well,SP286,1,morning,0,1,1.44,none
24-well,SP286,1,morning,0,2,1.51,none
24-well,SP286,1,morning,0,3,1.41,none
24-well,SP286,1,morning,4.5,1,1.43,none
24-well,SP286,1,morning,4.5,2,1.27,none
24-well,SP286,1,morning,4.5,3,1.22,none
24-well,SP286,2,afternoon,0,1,6.48,none
24-well,SP286,2,afternoon,0,2,7.81,none
24-well,SP286,2,afternoon,0,3,8.06,none
24-well,SP286,2,afternoon,4.5,1,5.76,none
24-well,SP286,2,afternoon,4.5,2,5.42,none
24-well,SP286,2,afternoon,4.5,3,5.95,none
24-well,SP286,2,morning,0,1,1.40,none
24-well,SP286,2,morning,0,2,1.44,none
24-well,SP286,2,morning,0,3,1.47,none
24-well,SP286,2,morning,4.5,1,2.04,none
24-well,SP286,2,morning,4.5,2,1.66,none
24-well,SP286,2,morning,4.5,3,1.33,none
24-well,SP286,3,afternoon,0,1,6.96,none
24-well,SP286,3,afternoon,0,2,6.24,none
24-well,SP286,3,afternoon,0,3,6.93,none
24-well,SP286,3,afternoon,4.5,1,5.73,none
24-well,SP286,3,afternoon,4.5,2,5.43,none
24-well,SP286,3,afternoon,4.5,3,6.80,none
24-well,SP286,3,morning,0,1,1.97,none
24-well,SP286,3,morning,0,2,1.70,none
24-well,SP286,3,morning,0,3,1.66,none
24-well,SP286,3,morning,4.5,1,1.59,none
24-well,SP286,3,morning,4.5,2,1.40,none
24-well,SP286,3,morning,4.5,3,1.88,none
24-well,SP286,4,afternoon,0,1,4.81,none
24-well,SP286,4,afternoon,0,2,4.34,none
24-well,SP286,4,afternoon,0,3,4.19,none
24-well,SP286,4,afternoon,4.5,1,6.59,none
24-well,SP286,4,afternoon,4.5,2,6.56,none
24-well,SP286,4,afternoon,4.5,3,7.16,none
24-well,SP286,4,morning,0,1,1.81,none
24-well,SP286,4,morning,0,2,1.63,none
24-well,SP286,4,morning,0,3,1.55,none
24-well,SP286,4,morning,4.5,1,2.51,none
24-well,SP286,4,morning,4.5,2,2.30,none
24-well,SP286,4,morning,4.5,3,1.72,none
24-well,SP286,5,afternoon,0,1,3.62,none
24-well,SP286,5,afternoon,0,2,3.19,none
24-well,SP286,5,afternoon,0,3,3.65,none
24-well,SP286,5,afternoon,4.5,1,5.79,none
24-well,SP286,5,afternoon,4.5,2,5.55,none
24-well,SP286,5,afternoon,4.5,3,6.22,none
24-well,SP286,5,morning,0,1,1.58,none
24-well,SP286,5,morning,0,2,1.49,none
24-well,SP286,5,morning,0,3,1.51,none
24-well,SP286,5,morning,4.5,1,1.97,none
24-well,SP286,5,morning,4.5,2,1.50,none
24-well,SP286,5,morning,4.5,3,1.60,none
96-well,SP286,1,afternoon,1,1,1.78,none
96-well,SP286,1,afternoon,1,2,1.66,none
96-well,SP286,1,afternoon,1,3,2.84,none
96-well,SP286,1,afternoon,1,4,1.79,none
96-well,SP286,1,afternoon,1,5,1.86,none
96-well,SP286,1,afternoon,1,6,1.89,none
96-well,SP286,1,afternoon,1,7,1.69,none
96-well,SP286,1,afternoon,1,8,2.05,none
96-well,SP286,1,afternoon,1.5,1,1.89,none
96-well,SP286,1,afternoon,1.5,2,2.27,none
96-well,SP286,1,afternoon,1.5,3,1.87,none
96-well,SP286,1,afternoon,1.5,4,1.89,none
96-well,SP286,1,afternoon,1.5,5,1.75,none
96-well,SP286,1,afternoon,1.5,6,2.11,none
96-well,SP286,1,afternoon,1.5,7,1.70,none
96-well,SP286,1,afternoon,1.5,8,1.57,none
96-well,SP286,1,afternoon,3,1,3.40,none
96-well,SP286,1,afternoon,3,2,4.59,none
96-well,SP286,1,afternoon,3,3,3.43,none
96-well,SP286,1,afternoon,3,4,3.41,none
96-well,SP286,1,afternoon,3,5,3.23,none
96-well,SP286,1,afternoon,3,6,3.85,none
96-well,SP286,1,afternoon,3,7,2.91,none
96-well,SP286,1,afternoon,3,8,2.92,none
96-well,SP286,1,afternoon,0,1,0.37,none
96-well,SP286,1,afternoon,0,2,0.54,none
96-well,SP286,1,afternoon,0,3,0.42,none
96-well,SP286,1,afternoon,0,4,0.42,none
96-well,SP286,1,afternoon,0,5,0.35,none
96-well,SP286,1,afternoon,0,6,0.43,none
96-well,SP286,1,afternoon,0,7,0.40,none
96-well,SP286,1,afternoon,0,8,0.42,none
96-well,SP286,1,afternoon,4.5,1,3.89,none
96-well,SP286,1,afternoon,4.5,2,5.45,none
96-well,SP286,1,afternoon,4.5,3,3.55,none
96-well,SP286,1,afternoon,4.5,4,3.02,none
96-well,SP286,1,afternoon,4.5,5,3.41,none
96-well,SP286,1,afternoon,4.5,6,4.19,none
96-well,SP286,1,afternoon,4.5,7,3.60,none
96-well,SP286,1,afternoon,4.5,8,3.69,none
96-well,SP286,1,morning,1,1,0.19,none
96-well,SP286,1,morning,1,2,0.28,none
96-well,SP286,1,morning,1,3,0.40,none
96-well,SP286,1,morning,1,4,0.20,none
96-well,SP286,1,morning,1,5,0.28,none
96-well,SP286,1,morning,1,6,0.22,none
96-well,SP286,1,morning,1,7,0.51,none
96-well,SP286,1,morning,1,8,0.26,none
96-well,SP286,1,morning,1.5,1,0.24,none
96-well,SP286,1,morning,1.5,2,0.37,none
96-well,SP286,1,morning,1.5,3,0.38,none
96-well,SP286,1,morning,1.5,4,0.33,none
96-well,SP286,1,morning,1.5,5,0.24,none
